C1	C2	C3	C4	C5	C6	C7	Y
0	0.0597	0.0922	0.2075	0.0943	0	0.3103	24.7
0	0.2237	0.2177	0.1218	0.3536	0	0.1034	26
0	0.2884	0.2806	0.0147	0.4558	0.0807	0.0934	27
0.0358	0.2734	0.2661	0	0.4534	0.3125	0.3617	28.6
0.1241	0.1939	0.1887	0	0.3879	0.2673	0.3094	28.7
0.1296	0.1889	0.1838	0	0.2986	0.1273	0.0276	28
0.091	0.2237	0.2177	0	0.3536	0.0893	0.0218	26.7
0.0193	0.2884	0.2806	0	0.4558	0.0807	0.0934	25.6
0	0.2685	0.2612	0.0314	0.4534	0.3125	0.3617	23.6
0	0.169	0.1645	0.1153	0.3606	0.2485	0.2876	21.8
0	0.0795	0.0774	0.1907	0.1257	0.0065	0.2852	20.6
0	0.0199	0.0785	0.241	0.0314	0	0.3604	21.6
0	0.0696	0.2737	0.2372	0.11	0	0.2977	26.2
0	0.2983	0.2902	0.0929	0.4715	0	0.0094	25.4
0	0.2585	0.2515	0.0398	0.4777	0.3291	0.381	26.5
0.0083	0.2983	0.2902	0	0.4715	0.2082	0.241	28
0.091	0.2237	0.2177	0	0.4777	0.3291	0.381	30.1
0.2068	0.1193	0.1161	0	0.1886	0.2031	0.0934	30.5
0.2288	0.0994	0.0967	0	0.1572	0.2247	0.0003	27.9
0.0855	0.2287	0.2225	0	0.3615	0.0839	0	26.1
0	0.2933	0.2854	0.0105	0.4636	0.0954	0.1104	23.9
0	0.184	0.179	0.1027	0.4678	0.3224	0.3731	22.4
0	0.1094	0.1064	0.1656	0.1729	0.0146	0.2476	21.7
0	0.0746	0.0726	0.1949	0.1179	0.0001	0.2915	22.6
0	0.1193	0.1161	0.1572	0.1886	0	0.235	23.8
0	0.179	0.1741	0.1069	0.2829	0.0002	0.1598	26.7
0.0193	0.2884	0.2806	0.0003	0.4558	0.019	0.0131	27.4
0.0579	0.2536	0.2467	0	0.4534	0.3125	0.3617	28
0.091	0.2237	0.2177	0	0.3536	0.1876	0.2172	29
0.1461	0.174	0.1693	0	0.275	0.1435	0.0934	29.6
0.1792	0.1442	0.1403	0	0.2279	0.176	0.01	28.1
0.0965	0.2188	0.2128	0	0.3458	0.0948	0.0016	26.5
0.0083	0.2983	0.2902	0	0.4715	0.0676	0.0783	23.6
0	0.169	0.1645	0.1153	0.4777	0.3291	0.381	21.3
0	0.0547	0.0532	0.2117	0.0864	0.0065	0.3165	21.6
0	0.0696	0.1585	0.1991	0.11	0	0.2977	21.9
0	0.0845	0.1073	0.1865	0.1336	0	0.2789	24.1
0	0.1939	0.1887	0.0943	0.3065	0	0.141	26.4
0.0028	0.3033	0.2951	0.0001	0.4794	0.0239	0.0276	26.5
0.0083	0.2983	0.2902	0	0.4827	0.3326	0.385	30.5
0.2288	0.0994	0.0967	0	0.4777	0.3291	0.381	29.6
0.1792	0.1442	0.1403	0	0.2279	0.176	0	30
0.2013	0.1243	0.1209	0	0.1965	0.1976	0.0016	27.5
0.0634	0.2486	0.2419	0	0.3929	0.0623	0.0004	26.9
0.0303	0.2784	0.2709	0	0.4401	0.1673	0.1937	24.5
0	0.2138	0.208	0.0775	0.4129	0.2845	0.3293	21.1
0	0.0447	0.0435	0.2201	0.0814	0.0561	0.3291	22
0	0.0895	0.1952	0.1823	0.1415	0	0.2727	22.8
0	0.1293	0.1258	0.1488	0.2043	0	0.2225	23.5
0	0.1641	0.1596	0.1195	0.2593	0.0005	0.1786	25.2
0	0.2486	0.2419	0.0482	0.3929	0.0049	0.0721	26.7
0.0193	0.2884	0.2806	0	0.4558	0.1673	0.1937	26.8
0.0248	0.2834	0.2757	0	0.4534	0.3125	0.3617	29
0.1461	0.174	0.1693	0	0.4349	0.2997	0.3469	28.2
0.102	0.2138	0.208	0	0.3379	0.1002	0.01	29.1
0.1516	0.169	0.1645	0	0.2672	0.1489	0.0649	26.7
0.0193	0.2884	0.2806	0	0.4558	0.019	0.0075	25.4
0	0.2585	0.2515	0.0398	0.4534	0.3125	0.3617	20.2
0	0	0	0.2578	0.3021	0.2082	0.3855	20.8
0	0.0298	0.2975	0.2578	0.0472	0	0.3479	22.3
0	0.1044	0.2467	0.2137	0.165	0	0.2538	24
0	0.1889	0.1838	0.0985	0.2986	0.0001	0.1473	26.4
0.0028	0.3033	0.2951	0.0001	0.4794	0.0188	0.0218	25.9
0	0.2834	0.2757	0.0189	0.4827	0.3326	0.385	27.9
